Cycle, Dupes, Calories Added, Calories Removed, Net Calories, Stress Added, Stress Removed, Net Stress, Total Germs, Chores Added, Chores Removed, Net Chores, Avg. Working Time, Avg. Travel Time, Avg. Personal Time, Idle Time, Oxygen Added, Oxygen Removed, Net Oxygen, Power Added, Power Removed, Net Power Usage, Power Wasted
 ,  , [kcal], [kcal], [kcal], [Total Stress], [Total Stress], [Total Stress], [All Dupes],  ,  ,  , [Per Dupe], [Per Dupe], [Per Dupe], [Total Idle Time], [kg], [kg], [kg], [kJ], [kJ], [kJ], [kJ]
35, 4, 11200.000, -5569.229, 5630.771, 6.594325542449951%, -92.27852630615234%, -85.68782043457031%, 0, 85, -135, -50, 32.03290049235026%, 31.208333333333332%, 17.667418162027996%, 0%, 297.000, -169.979, 127.030, 56.280, -71.544, -15.264, -0.400, 
36, 4, 1200.000, -4504.029, -3304.029, 9.59021282196045%, -105.33979797363281%, -95.75173950195312%, 0, 316, -194, 122, 35.48562876383463%, 29.75%, 14.3730837504069%, 0%, 259.000, -184.303, 74.702, 118.080, -107.730, 10.350, -0.348, 
37, 4, 2400.000, -4033.469, -1633.469, 28.8024845123291%, -107.48804473876953%, -78.68638610839844%, 34549, 188, -246, -58, 34.27966562906901%, 34%, 14.57650629679362%, 0%, 295.500, -166.799, 128.710, 66.360, -68.520, -2.160, -0.400, 
38, 4, 7800.000, -2200.000, 5600.000, 18.77433204650879%, -77.68099212646484%, -58.9079475402832%, 60559, 141, -137, 4, 39.552635192871094%, 25.75%, 13.580916086832682%, 0%, 298.500, -191.144, 107.370, 109.440, -103.884, 5.556, -0.400, 
39, 4, 7600.000, -4702.349, 2897.651, 21.961090087890625%, -85.45659637451172%, -63.50224685668945%, 0, 102, -84, 18, 26.900166829427082%, 38%, 14.77854029337565%, 0%, 238.999, -173.400, 65.597, 82.080, -88.068, -5.988, -0.400, 
40, 4, 8200.000, -6052.060, 2147.941, 26.961936950683594%, -79.46222686767578%, -52.50260925292969%, 0, 98, -134, -36, 27.7396240234375%, 39.375%, 14.951414744059244%, 0%, 290.500, -182.762, 107.752, 65.160, -62.352, 2.808, -0.400, 
41, 5, 34000.000, -3639.080, 30360.920, 5.75686502456665%, -130.7592010498047%, -125.00813293457031%, 0, 92, -82, 10, 39.325740559895834%, 34.166666666666664%, 32.675516764322914%, 0%, 291.500, -241.870, 49.641, 173.040, -171.480, 1.560, -0.400, 
42, 5, 2400.000, -6686.779, -4286.779, 1.8233317136764526%, -143.89739990234375%, -142.07516479492188%, 998, 306, -130, 176, 35.22287190755208%, 35.5%, 13.651830037434896%, 0%, 285.000, -261.355, 23.655, 150.600, -151.080, -0.480, -0.400, 
43, 5, 5000.000, -5543.047, -543.047, 6.4111223220825195%, -131.75811767578125%, -125.35432434082031%, 69, 98, -88, 10, 36.221386718750004%, 38.333333333333336%, 14.511063639322918%, 0%, 239.987, -265.313, -25.318, 114.000, -112.596, 1.404, -0.400, 
44, 5, 7200.000, -3833.948, 3366.052, 4.166651248931885%, -104.08769226074219%, -99.92491912841797%, 0, 106, -96, 10, 38.53023681640625%, 31.766666666666666%, 13.482426961263021%, 0%, 258.500, -251.137, 7.380, 193.680, -192.951, 0.729, -0.400, 
45, 5, 8600.000, -6549.739, 2050.262, 6.4577956199646%, -89.93352508544922%, -83.47945404052734%, 9013, 109, -101, 8, 37.54329020182292%, 34.86666666666667%, 12.858690388997395%, 0%, 239.500, -222.791, 16.717, 133.200, -144.600, -11.400, -0.400, 
